Date,Total,Count
18/01/2021,898.99,1
15/02/2021,899,1
26/02/2021,898.99,1
02/03/2021,899,1
16/03/2021,899,1
17/03/2021,898.99,1
18/03/2021,899,1
22/03/2021,898.99,1
23/03/2021,898.99,1
24/03/2021,1797.99,2
25/03/2021,899,1
26/03/2021,2696.98,3
27/03/2021,898.99,1
28/03/2021,1797.99,2
30/03/2021,898.99,1
31/03/2021,1797.99,2
01/04/2021,899,1
04/04/2021,9997.98,3
05/04/2021,1798,2
06/04/2021,2696.99,3
08/04/2021,9997.98,3
09/04/2021,1797.99,2
10/04/2021,8200,1
11/04/2021,9997.98,3
12/04/2021,9098.99,2
13/04/2021,3595.96,4
14/04/2021,17298.98,3
15/04/2021,16400,2
16/04/2021,1797.98,2
17/04/2021,9997.97,3
18/04/2021,899,1
19/04/2021,2696.99,3
21/04/2021,898.99,1
22/04/2021,11795.98,5
23/04/2021,23297.98,5
24/04/2021,2696.97,3
25/04/2021,14198.98,3
26/04/2021,4494.98,5
27/04/2021,19096.96,5
28/04/2021,2696.98,3
29/04/2021,8199.99,1
30/04/2021,15996.97,5
01/05/2021,5393.96,6
02/05/2021,9997.99,3
03/05/2021,3595.98,4
04/05/2021,2696.97,3
05/05/2021,19592.95,9
06/05/2021,9997.98,3
07/05/2021,0,0
08/05/2021,16290.97,10
09/05/2021,4494.98,5
10/05/2021,13593.95,7
11/05/2021,10896.99,4
12/05/2021,14492.96,8
13/05/2021,3595.98,4
14/05/2021,11795.96,5
15/05/2021,5393.95,6
16/05/2021,899,1
17/05/2021,2696.97,3
18/05/2021,19175.95,6
19/05/2021,4494.98,5
20/05/2021,11795.97,5
21/05/2021,9997.98,3
22/05/2021,4494.98,5
23/05/2021,13183.95,7
24/05/2021,13593.95,7
25/05/2021,11795.96,5
26/05/2021,18088.91,12
27/05/2021,25878.92,13
28/05/2021,30892.94,10
29/05/2021,24080.93,11
30/05/2021,27375.93,7
31/05/2021,27785.95,7
01/06/2021,40487.89,16
02/06/2021,19096.97,5
03/06/2021,20894.95,7
04/06/2021,30482.93,10
05/06/2021,22289.93,12
06/06/2021,19254.97,7
07/06/2021,17189.9,11
08/06/2021,30151.91,11
09/06/2021,7191.96,8
10/06/2021,4494.96,5
11/06/2021,10897,4
12/06/2021,19096.98,5
13/06/2021,22850.92,11
14/06/2021,23749.92,12
15/06/2021,11874.98,6
16/06/2021,27943.94,9
17/06/2021,20973.94,8
18/06/2021,17377.98,4
19/06/2021,14981.92,9
20/06/2021,34834.94,9
21/06/2021,26972.91,10
22/06/2021,19175.96,6
23/06/2021,8688.99,2
24/06/2021,3595.97,4
25/06/2021,28432.91,10
26/06/2021,19254.96,7
27/06/2021,93795.87,16
28/06/2021,17873.95,8
29/06/2021,26152.93,10
30/06/2021,40013.92,11
01/07/2021,38215.92,9
02/07/2021,7796.97,4
03/07/2021,53111.88,14
04/07/2021,14571.92,9
05/07/2021,19254.93,7
06/07/2021,23670.95,11
07/07/2021,37733.91,11
08/07/2021,19254.96,7
09/07/2021,1797.99,2
10/07/2021,19965.89,15
11/07/2021,59103.93,13
12/07/2021,82142.87,17
13/07/2021,10975.96,5
14/07/2021,23749.92,12
15/07/2021,30151.94,11
16/07/2021,38840.89,13
17/07/2021,42624.91,10
18/07/2021,38430.91,13
19/07/2021,56974.88,12
20/07/2021,17873.96,8
21/07/2021,18355.98,6
22/07/2021,17873.94,8
23/07/2021,34834.94,9
24/07/2021,46630.9,14
25/07/2021,32216.95,7
26/07/2021,11874.95,6
27/07/2021,8989.9,10
28/07/2021,33935.96,8
29/07/2021,45321.91,13
30/07/2021,21052.94,9
31/07/2021,21052.96,9
01/08/2021,13183.97,7
02/08/2021,24354.93,8
03/08/2021,46408.94,7
04/08/2021,14571.98,9
05/08/2021,26555.95,7
06/08/2021,14082.94,8
07/08/2021,24648.94,13
08/08/2021,39408.88,15
09/08/2021,30719.93,13
10/08/2021,23749.9,12
11/08/2021,2696.98,3
12/08/2021,34913.91,10
13/08/2021,19254.94,7
14/08/2021,28432.91,10
15/08/2021,37531.91,12
16/08/2021,27533.94,9
17/08/2021,21951.91,10
18/08/2021,12773.95,7
19/08/2021,28432.93,10
20/08/2021,2696.99,3
21/08/2021,14759.98,2
22/08/2021,11795.97,5
23/08/2021,15996.96,5
24/08/2021,11874.94,6
25/08/2021,38430.91,13
26/08/2021,34021.93,12
27/08/2021,34431.89,12
28/08/2021,12773.95,7
29/08/2021,43048.89,16
30/08/2021,28244.86,17
31/08/2021,42515.87,18
01/09/2021,11686.92,13
02/09/2021,15176.96,5
03/09/2021,12773.93,7
04/09/2021,70504.88,14
05/09/2021,39408.91,15
06/09/2021,47875.91,10
07/09/2021,27533.92,9
08/09/2021,54909.89,16
09/09/2021,12284.94,6
10/09/2021,32927.88,15
11/09/2021,31050.91,12
12/09/2021,29820.91,12
13/09/2021,26972.94,10
14/09/2021,40307.89,16
15/09/2021,22771.92,10
16/09/2021,41127.89,16
17/09/2021,26152.9,10
18/09/2021,44802.82,21
19/09/2021,22850.91,11
20/09/2021,38509.9,14
21/09/2021,1797.99,2
22/09/2021,25468.92,13
23/09/2021,24648.93,13
24/09/2021,24080.91,11
25/09/2021,34913.9,10
26/09/2021,29173.95,9
27/09/2021,14571.92,9
28/09/2021,36553.93,10
29/09/2021,18772.93,9
30/09/2021,13672.94,8
01/10/2021,29252.93,10
02/10/2021,16369.94,11
03/10/2021,5393.94,6
04/10/2021,7191.94,8
05/10/2021,20153.92,8
06/10/2021,18987.93,13
07/10/2021,17456.97,5
08/10/2021,7796.97,4
09/10/2021,17873.93,8
10/10/2021,30151.93,11
11/10/2021,7191.96,8
12/10/2021,12694.97,6
13/10/2021,111594.03,24
14/10/2021,11874.94,6
15/10/2021,28849.89,13
16/10/2021,8989.95,10
17/10/2021,27375.95,7
18/10/2021,13593.96,7
19/10/2021,16369.92,11
20/10/2021,10493.94,7
21/10/2021,76496.88,13
22/10/2021,12773.96,7
23/10/2021,28353.95,9
24/10/2021,22771.92,10
25/10/2021,20160.96,11
26/10/2021,7191.94,8
27/10/2021,3595.96,4
28/10/2021,12773.95,7
29/10/2021,10975.98,5
30/10/2021,28353.95,9
31/10/2021,19671.95,10
01/11/2021,21951.93,10
02/11/2021,14571.95,9
03/11/2021,26073.96,9
04/11/2021,10975.98,5
05/11/2021,12773.95,7
06/11/2021,8989.95,10
07/11/2021,26562.93,10
08/11/2021,32848.9,14
09/11/2021,26634.93,8
10/11/2021,41745.87,18
11/11/2021,6292.95,7
12/11/2021,32870.93,13
13/11/2021,42026.86,17
14/11/2021,30042.85,19
15/11/2021,25547.89,14
16/11/2021,22850.93,11
17/11/2021,19664.95,7
18/11/2021,11874.97,6
19/11/2021,24648.91,13
20/11/2021,35624.86,18
21/11/2021,21951.94,10
22/11/2021,26446.91,15
23/11/2021,20570.95,11
24/11/2021,21951.92,10
25/11/2021,21872.94,9
26/11/2021,23749.92,12
27/11/2021,35547.91,15
28/11/2021,12585.92,14
29/11/2021,6292.98,7
30/11/2021,36354.97,9
01/12/2021,25361.9,19
02/12/2021,33642.95,19
03/12/2021,40647.9,16
04/12/2021,28756.94,15
05/12/2021,23561.87,19
06/12/2021,31550.92,12
07/12/2021,29066.91,15
08/12/2021,19189.92,12
09/12/2021,20866.88,14
10/12/2021,26448.89,13
11/12/2021,17189.94,11
12/12/2021,19068.92,12
13/12/2021,51103.89,20
14/12/2021,53208.88,16
15/12/2021,72453.93,14
16/12/2021,25067.92,14
17/12/2021,29752.97,10
18/12/2021,7191.98,8
19/12/2021,5393.95,6
20/12/2021,53869.95,15
21/12/2021,29536.94,15
22/12/2021,30046.92,15
23/12/2021,30945.95,16
24/12/2021,25551.94,10
25/12/2021,26839.95,12
26/12/2021,68389.93,18
27/12/2021,37428.93,14
28/12/2021,24061.94,10
29/12/2021,52069.94,15
30/12/2021,68512.96,14
31/12/2021,120339.95,23
01/01/2022,48354.97,10
02/01/2022,37426.92,16
03/01/2022,8090.97,9
04/01/2022,60134.96,20
05/01/2022,31844.94,17
06/01/2022,24462.88,18
07/01/2022,58995.93,19
08/01/2022,29965.91,16
09/01/2022,57517.88,26
10/01/2022,32273.91,18
11/01/2022,8090.94,9
12/01/2022,62589.91,25
13/01/2022,121442.86,29
14/01/2022,62000.88,24
15/01/2022,67195.89,20
16/01/2022,90560.86,27
